"Nest_ID","Year","Elevation","FirstEggDate","IncubationStart","ExpectedHatch","HatchDate","D8","D16","Clutch","Brood..D16.","Status","RFID","OLD_RFID","P_sex"
"43",2019,"L","15-May-19","22-May-19","3-Jun-19","7-Jun-18","14-Jun-18","22-Jun-18",7,7,"Success","0300025C11","","M"
"43",2019,"L","15-May-19","22-May-19","3-Jun-19","7-Jun-18","14-Jun-18","22-Jun-18",7,7,"Success","0700ED9211","","F"
"43-1",2019,"L","16-May-19","28-May-18","9-Jun-18","9-Jun-19","16-Jun-19","24-Jun-19",5,3,"Success","0700EDEA7D","","M"
"43-1",2019,"L","16-May-19","28-May-18","9-Jun-18","9-Jun-19","16-Jun-19","24-Jun-19",5,3,"Success","0700EE41FD","","F"
"43-2",2019,"L","2-Jun-19","11-Jun-19","23-Jun-19","23-Jun-19","30-Jun-19","8-Jul-19",6,4,"Success","UNKNOWN","","M"
"43-2",2019,"L","2-Jun-19","11-Jun-19","23-Jun-19","23-Jun-19","30-Jun-19","8-Jul-19",6,4,"Success","0700EDA312","","F"
"43-3",2019,"L","17-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,5,"Success","0300038FED","","M"
"43-3",2019,"L","17-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,5,"Success","0700EE1D35","","F"
"45",2019,"L","25-May-19","31-May-19","12-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",6,6,"Success","0700EDC70B","","M"
"45",2019,"L","25-May-19","31-May-19","12-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",6,6,"Success","0700EDC805","","F"
"47-1",2019,"L","17-May-19","28-May-19","9-Jun-19","11-Jun-19","18-Jun-19","26-Jun-19",8,NA,"Depredated","0700EE187D","","M"
"47-1",2019,"L","17-May-19","28-May-19","9-Jun-19","11-Jun-19","18-Jun-19","26-Jun-19",8,NA,"Depredated","0700EDCC34","","F"
"49-1",2019,"L","26-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","011016FF71","","M"
"49-1",2019,"L","26-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0700EDE0C0","","F"
"50",2019,"L","16-May-19","23-May-19","4-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EDD85C","","M"
"50",2019,"L","16-May-19","23-May-19","4-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EE378F","","F"
"51",2019,"L","17-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EDF56D","","M"
"51",2019,"L","17-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EDA295","","F"
